, 4th of(event, time)
be unite with(island, country)
be unknown in(herb, country)
be up at(city, city)
be use(browser, browser)
be use(company, system)
be use(fruit, company)
be use as(herb, product)
be use for(acid, process)
be use for(agent, effect)
be use for(drug, disease)
be use for(drug, disorder)
be use for(drug, effect)
be use for(herb, disease)
be use for(herb, disorder)
be use for(herb, effect)
be use for(material, product)
be use for(medication, disease)
be use for(medication, disorder)
be use for(medication, effect)
be use for(metal, device)
be use for(plant, disease)
be use for(plant, effect)
be use for(procedure, procedure)
be use for(protein, effect)
be use for(treatment, disease)
be use for(tree, disease)
be use in(agent, product)
be use in(chemical, product)
be use in(crop, food)
be use in(drug, country)
be use in(drug, disease)
be use in(food, food)
be use in(fruit, product)
be use in(gas, process)
be use in(herb, country)
be use in(herb, food)
be use in(herb, place)
be use in(herb, product)
be use in(hormone, disease)
be use in(ingredient, country)
be use in(ingredient, food)
be use in(ingredient, product)
be use in(material, country)
be use in(material, material)
be use in(material, product)
be use in(metal, country)
be use in(metal, device)
be use in(metal, material)
be use in(metal, product)
be use in(metal, source)
be use in(mineral, material)
be use in(mineral, process)
be use in(mineral, product)
be use in(plant, country)
be use in(plant, food)
be use in(product, country)
be use in(product, food)
be use in(product, process)
be use in(product, product)
be use in(source, country)
be use in(source, food)
be use in(source, product)
be use in(substance, country)
be use in(substance, material)
be use in(substance, product)
be use in(system, country)
be use in(tool, country)
be use in(treatment, country)
be use in(tree, country)
be use in(use, country)
be use in(vegetable, food)
be use with(drug, drug)
be vaccinate against(animal, disease)
be value in(herb, country)
be view with(application, browser)
be visit(leader, country)
be visit(man, country)
be warn(agency, service)
be well_known for(country, industry)
be west of(state, city)
be west of(state, state)
be wider than(state, state)
be widespread in(disease, country)
be widespread in(factor, country)
be widespread in(infection, country)
be widespread throughout(animal, country)
be work closely with(agency, agency)
be work in(organisation, country)
be work in(organization, country)
be work in(organization, place)
be work in(organization, state)
be work with(agency, agency)
be work with(agency, organization)
be work with(company, agency)
be work with(company, company)
be work with(organization, agency)
be work with(organization, organization)
be write in(system, technology)
be write in(tool, technology)
bear(state, country)
bear(state, state)
bear down on(event, city)
beat(animal, city)
beat(animal, state)
beat(area, city)
beat(area, country)
beat(area, place)
beat(area, state)
beat(area, university)
beat(bird, city)
beat(browser, browser)
beat(center, state)
beat(city, area)
beat(city, center)
beat(city, city)
beat(city, club)
beat(city, country)
beat(city, destination)
beat(city, place)
beat(city, state)
beat(city, team)
beat(city, town)
beat(city, university)
beat(club, city)
beat(community, city)
beat(community, state)
beat(company, company)
beat(company, state)
beat(country, area)
beat(country, country)
beat(country, destination)
beat(country, hotel)
beat(country, island)
beat(country, member)
beat(country, place)
beat(country, state)
beat(destination, country)
beat(employer, state)
beat(engine, company)
beat(game, city)
beat(game, country)
beat(game, state)
beat(institution, place)
beat(institution, state)
beat(institution, university)
beat(island, country)
beat(leader, state)
beat(location, country)
beat(member, country)
beat(member, state)
beat(partner, state)
beat(place, area)
beat(place, city)
beat(place, country)
beat(place, institution)
beat(place, place)
beat(place, school)
beat(place, state)
beat(place, team)
beat(place, town)
beat(place, university)
beat(player, player)
beat(school, city)
beat(school, place)
beat(school, state)
beat(school, university)
beat(sport, country)
beat(sport, sport)
beat(state, area)
beat(state, center)
beat(state, city)
beat(state, community)
beat(state, country)
beat(state, employer)
beat(state, institution)
beat(state, leader)
beat(state, member)
beat(state, place)
beat(state, school)
beat(state, state)
beat(state, team)
beat(state, town)
beat(state, university)
beat(team, city)
beat(team, place)
beat(team, state)
beat(team, team)
beat(town, city)
beat(town, place)
beat(town, state)
beat(town, town)
beat(university, area)
beat(university, city)
beat(university, institution)
beat(university, place)
beat(university, school)
beat(university, state)
beat(university, university)
become(agency, agency)
become(art, art)
become(browser, browser)
become(city, city)
become(city, hotel)
become(company, company)
become(country, country)
become(disease, disease)
become(disorder, disease)
become(food, food)
become(gas, gas)
become(illness, disease)
become(leader, leader)
become(man, leader)
become(man, man)
become(man, member)
become(organization, agency)
become(organization, organization)
become(product, food)
become(sport, sport)
become(state, state)
become(time, time)
become capital of(city, country)
become capital of(city, place)
become capital of(city, state)
become capital of(place, country)
become capital of(town, country)
become governor of(leader, state)
become member of(country, agency)
become member of(country, body)
become member of(country, family)
become member of(country, institution)
become member of(country, leader)
become member of(country, member)
become member of(country, organisation)
become member of(country, organization)
become member of(country, process)
become member of(place, organization)
become part of(city, country)
become part of(country, area)
become part of(country, country)
become part of(country, state)
become part of(island, country)
become part of(place, country)
become part of(region, country)
become part of(state, country)
become president of(leader, country)
become president of(man, country)
beget(city, city)
begin(activity, time)
begin(country, activity)
begin(event, time)
begin(service, time)
begin(time, time)
begin around(disorder, time)
begin at(activity, event)
begin at(activity, time)
begin at(disease, time)
begin at(disorder, time)
begin at(process, event)
begin at(process, process)
begin at(process, time)
begin at(time, time)
begin during(disease, time)
begin during(disorder, time)
begin during(illness, time)
begin in(activity, country)
begin in(activity, time)
begin in(area, country)
begin in(art, country)
begin in(disease, country)
begin in(disease, time)
begin in(disorder, time)
begin in(effect, time)
begin in(event, area)
begin in(event, city)
begin in(event, country)
begin in(event, place)
